StockTickerId,OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate
GOOG,149.10,147.36,149.40,148.68,12/10/2021 12:00:00 AM
PFE,51.20,51.11,52.85,52.78,12/10/2021 12:00:00 AM
ATVI,59.16,57.47,59.41,58.60,12/10/2021 12:00:00 AM
ATVI,58.60,58.02,59.45,58.70,12/13/2021 12:00:00 AM
PFE,53.44,53.44,55.73,55.20,12/13/2021 12:00:00 AM
GOOG,148.44,146.36,148.56,146.70,12/13/2021 12:00:00 AM
F,21.24,20.13,21.30,20.43,12/13/2021 12:00:00 AM
F,19.80,19.38,20.18,20.05,12/14/2021 12:00:00 AM
GOOG,144.77,142.24,145.44,144.97,12/14/2021 12:00:00 AM
PFE,54.77,54.32,55.95,55.54,12/14/2021 12:00:00 AM
ATVI,58.16,58.15,59.88,59.52,12/14/2021 12:00:00 AM
ATVI,59.11,58.83,60.51,60.26,12/15/2021 12:00:00 AM
PFE,56.11,55.89,58.91,58.80,12/15/2021 12:00:00 AM
GOOG,144.37,142.71,147.52,147.37,12/15/2021 12:00:00 AM
F,19.99,19.55,20.33,20.19,12/15/2021 12:00:00 AM
F,20.57,20.26,21.10,20.35,12/16/2021 12:00:00 AM
GOOG,148.08,144.09,148.55,144.84,12/16/2021 12:00:00 AM
PFE,58.36,57.75,61.43,61.25,12/16/2021 12:00:00 AM
ATVI,60.55,60.18,61.63,61.49,12/16/2021 12:00:00 AM
ATVI,61.10,60.60,62.06,61.36,12/17/2021 12:00:00 AM
PFE,59.93,58.70,61.19,59.48,12/17/2021 12:00:00 AM
GOOG,142.71,141.79,144.46,142.80,12/17/2021 12:00:00 AM
F,20.03,19.60,20.24,19.77,12/17/2021 12:00:00 AM
F,19.46,19.05,19.62,19.42,12/20/2021 12:00:00 AM
GOOG,140.68,140.25,142.61,142.40,12/20/2021 12:00:00 AM
PFE,60.60,59.83,61.71,61.02,12/20/2021 12:00:00 AM
ATVI,61.01,60.67,62.23,61.80,12/20/2021 12:00:00 AM
ATVI,62.25,61.86,63.64,63.59,12/21/2021 12:00:00 AM
PFE,60.01,57.16,60.04,58.95,12/21/2021 12:00:00 AM
GOOG,143.15,141.74,144.69,144.22,12/21/2021 12:00:00 AM
F,19.75,19.33,19.79,19.61,12/21/2021 12:00:00 AM
F,19.64,19.64,20.34,20.14,12/22/2021 12:00:00 AM
GOOG,144.10,143.96,147.30,146.95,12/22/2021 12:00:00 AM
PFE,59.25,58.22,60.59,59.55,12/22/2021 12:00:00 AM
ATVI,63.26,63.14,64.12,64.10,12/22/2021 12:00:00 AM
ATVI,64.01,63.85,65.39,65.16,12/23/2021 12:00:00 AM
PFE,59.82,58.31,60.08,58.71,12/23/2021 12:00:00 AM
GOOG,147.09,146.95,148.57,147.14,12/23/2021 12:00:00 AM
F,20.08,20.00,20.41,20.25,12/23/2021 12:00:00 AM
F,20.26,20.10,20.89,20.80,12/27/2021 12:00:00 AM
GOOG,147.46,147.25,148.43,148.06,12/27/2021 12:00:00 AM
