OpenPrice,LowPrice,HighPrice,ClosePrice,StockHistoryDate,StockTickerId,Volume
72.24,72.24,73.83,73.31,10/20/2022 12:00:00 AM,ATVI,5178979
1531.08,1523.01,1547.00,1536.20,10/20/2022 12:00:00 AM,CMG,238288
12.13,11.73,12.20,11.77,10/20/2022 12:00:00 AM,F,55568061
100.82,99.97,103.00,100.53,10/20/2022 12:00:00 AM,GOOG,25125082
43.27,42.82,43.41,42.91,10/20/2022 12:00:00 AM,PFE,17714964
208.28,202.00,215.55,207.28,10/20/2022 12:00:00 AM,TSLA,117798062
142.87,142.65,147.85,147.27,10/21/2022 12:00:00 AM,AAPL,86548609
72.93,72.42,73.17,72.71,10/21/2022 12:00:00 AM,ATVI,4371521
1536.03,1508.64,1551.41,1549.82,10/21/2022 12:00:00 AM,CMG,364564
11.74,11.68,12.25,12.19,10/21/2022 12:00:00 AM,F,55132743
98.46,98.23,101.62,101.48,10/21/2022 12:00:00 AM,GOOG,28988727
43.31,42.99,45.16,44.95,10/21/2022 12:00:00 AM,PFE,36575713
206.41,203.80,214.66,214.44,10/21/2022 12:00:00 AM,TSLA,75713754
147.19,146.00,150.23,149.45,10/24/2022 12:00:00 AM,AAPL,75981918
72.83,71.89,72.83,72.51,10/24/2022 12:00:00 AM,ATVI,4495246
1560.00,1538.85,1563.23,1545.84,10/24/2022 12:00:00 AM,CMG,387333
12.30,12.18,12.65,12.48,10/24/2022 12:00:00 AM,F,64717741
102.09,100.30,103.10,102.97,10/24/2022 12:00:00 AM,GOOG,24680831
45.08,44.98,45.87,45.54,10/24/2022 12:00:00 AM,PFE,24971991
205.82,198.59,213.50,211.25,10/24/2022 12:00:00 AM,TSLA,100446765
150.09,149.36,152.49,152.34,10/25/2022 12:00:00 AM,AAPL,74732290
72.73,72.44,72.98,72.50,10/25/2022 12:00:00 AM,ATVI,6583175
1561.00,1552.50,1591.43,1584.02,10/25/2022 12:00:00 AM,CMG,668805
12.58,12.46,13.03,12.83,10/25/2022 12:00:00 AM,F,66391637
103.30,103.02,105.10,104.93,10/25/2022 12:00:00 AM,GOOG,29910170
45.27,44.89,45.82,45.59,10/25/2022 12:00:00 AM,PFE,23126979
210.10,210.00,224.35,222.41,10/25/2022 12:00:00 AM,TSLA,96507870
150.96,148.04,151.99,149.35,10/26/2022 12:00:00 AM,AAPL,88436172
72.84,72.36,73.03,72.48,10/26/2022 12:00:00 AM,ATVI,6086165
1532.41,1474.73,1558.82,1476.03,10/26/2022 12:00:00 AM,CMG,1022473
12.80,12.52,13.06,12.82,10/26/2022 12:00:00 AM,F,86986066
96.76,94.57,98.54,94.82,10/26/2022 12:00:00 AM,GOOG,71671814
45.92,45.62,46.65,46.06,10/26/2022 12:00:00 AM,PFE,21413029
219.40,218.20,230.60,224.64,10/26/2022 12:00:00 AM,TSLA,85327078
148.07,144.13,149.05,144.80,10/27/2022 12:00:00 AM,AAPL,109180150
72.36,72.05,72.83,72.50,10/27/2022 12:00:00 AM,ATVI,4538219
1490.19,1449.66,1490.19,1466.94,10/27/2022 12:00:00 AM,CMG,534075
12.77,12.42,13.22,13.00,10/27/2022 12:00:00 AM,F,88421541
94.31,91.90,95.17,92.60,10/27/2022 12:00:00 AM,GOOG,54036485
45.81,45.68,46.11,45.74,10/27/2022 12:00:00 AM,PFE,20377727
229.77,222.85,233.81,225.09,10/27/2022 12:00:00 AM,TSLA,61638824
